epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
136,7464.28,0.72892,0.36762,0.80177,0.93541,0.88117,0.9474,0.70876,0.69902,0.33922,0.80265,0.0033175,0.0033175,0.0033175
137,7519.22,0.71984,0.36685,0.80041,0.93471,0.88212,0.94751,0.70876,0.69837,0.33891,0.80249,0.003268,0.003268,0.003268
138,7573.94,0.73395,0.37069,0.80067,0.92733,0.88727,0.94753,0.7088,0.69815,0.33899,0.8025,0.0032185,0.0032185,0.0032185
139,7628.75,0.72815,0.36411,0.8003,0.92704,0.88767,0.94767,0.70882,0.69757,0.33854,0.80241,0.003169,0.003169,0.003169
140,7683.85,0.73385,0.36486,0.79724,0.92792,0.88824,0.94846,0.70911,0.6978,0.33833,0.80245,0.0031195,0.0031195,0.0031195
141,7738.62,0.72219,0.36573,0.79749,0.92824,0.88825,0.94842,0.70895,0.69791,0.33807,0.80245,0.00307,0.00307,0.00307
142,7793.26,0.7233,0.36152,0.79861,0.92601,0.88977,0.94848,0.70867,0.69768,0.33832,0.80252,0.0030205,0.0030205,0.0030205
143,7847.81,0.72398,0.36286,0.79734,0.92172,0.89626,0.94836,0.70881,0.69786,0.33771,0.80244,0.002971,0.002971,0.002971
144,7902.67,0.71528,0.35819,0.79884,0.92916,0.88526,0.94837,0.70892,0.69735,0.33733,0.80239,0.0029215,0.0029215,0.0029215
145,7957.35,0.71916,0.35893,0.79836,0.92838,0.88741,0.94846,0.70895,0.69733,0.33709,0.80238,0.002872,0.002872,0.002872
146,8011.83,0.71642,0.35642,0.79695,0.9321,0.8845,0.9475,0.70836,0.69743,0.33697,0.80239,0.0028225,0.0028225,0.0028225
147,8066.37,0.72131,0.35987,0.79839,0.93254,0.88499,0.94731,0.70802,0.69683,0.33643,0.8024,0.002773,0.002773,0.002773
148,8121.13,0.70799,0.35273,0.79599,0.93303,0.88498,0.94752,0.70827,0.69702,0.33641,0.80247,0.0027235,0.0027235,0.0027235
149,8175.73,0.71196,0.3584,0.7994,0.93294,0.88544,0.94758,0.70784,0.69728,0.33666,0.80245,0.002674,0.002674,0.002674
150,8230.34,0.71244,0.35497,0.7988,0.93278,0.88599,0.94737,0.70835,0.69737,0.3361,0.80243,0.0026245,0.0026245,0.0026245
151,8285.07,0.71715,0.35579,0.7956,0.93284,0.88515,0.94738,0.70863,0.69692,0.33595,0.80241,0.002575,0.002575,0.002575
152,8339.69,0.71615,0.35624,0.79927,0.93263,0.88529,0.94743,0.70859,0.6977,0.33624,0.80241,0.0025255,0.0025255,0.0025255
153,8394.2,0.69994,0.35167,0.79621,0.93424,0.88494,0.94745,0.70948,0.6974,0.33564,0.80244,0.002476,0.002476,0.002476
154,8448.91,0.70655,0.35272,0.79526,0.93433,0.88473,0.94744,0.70952,0.69762,0.33577,0.80241,0.0024265,0.0024265,0.0024265
155,8503.51,0.71256,0.35609,0.79596,0.93381,0.8842,0.94755,0.70966,0.69711,0.33575,0.80238,0.002377,0.002377,0.002377
156,8558.31,0.70632,0.35272,0.79724,0.93477,0.88394,0.94796,0.70979,0.69705,0.33618,0.8023,0.0023275,0.0023275,0.0023275
157,8613.29,0.71152,0.35188,0.79838,0.93521,0.88271,0.94814,0.71011,0.69663,0.33614,0.80231,0.002278,0.002278,0.002278
158,8668.13,0.70514,0.34623,0.79615,0.9378,0.88073,0.94816,0.71126,0.6967,0.3361,0.8023,0.0022285,0.0022285,0.0022285
159,8722.95,0.70274,0.34804,0.79494,0.93688,0.88085,0.94822,0.71114,0.69661,0.33592,0.80233,0.002179,0.002179,0.002179
160,8777.73,0.70636,0.34497,0.7977,0.9374,0.88136,0.94829,0.71162,0.69666,0.33622,0.80233,0.0021295,0.0021295,0.0021295
161,8832.74,0.69836,0.3458,0.79569,0.93662,0.88159,0.94835,0.71202,0.6967,0.33577,0.80228,0.00208,0.00208,0.00208
162,8887.41,0.69426,0.34221,0.79189,0.93749,0.88033,0.94827,0.71272,0.69647,0.33606,0.80228,0.0020305,0.0020305,0.0020305
163,8942.12,0.69627,0.34383,0.79486,0.93788,0.88016,0.94827,0.71354,0.69606,0.33627,0.80224,0.001981,0.001981,0.001981
164,8996.94,0.68945,0.34305,0.79618,0.93767,0.8811,0.94833,0.71342,0.69636,0.33627,0.80217,0.0019315,0.0019315,0.0019315
165,9051.87,0.69032,0.33848,0.79346,0.93766,0.88084,0.94839,0.71353,0.69662,0.33637,0.80215,0.001882,0.001882,0.001882
166,9106.32,0.69138,0.34105,0.79599,0.93755,0.88121,0.94836,0.71371,0.69693,0.33646,0.80212,0.0018325,0.0018325,0.0018325
167,9160.92,0.69329,0.34242,0.79315,0.93762,0.88188,0.94835,0.71351,0.69686,0.33626,0.80216,0.001783,0.001783,0.001783
168,9215.63,0.68917,0.3357,0.79636,0.93711,0.88202,0.94826,0.71381,0.69693,0.3365,0.80211,0.0017335,0.0017335,0.0017335
169,9270.36,0.69214,0.33875,0.79524,0.93724,0.88197,0.94821,0.71411,0.69712,0.33641,0.80212,0.001684,0.001684,0.001684
170,9325.74,0.68967,0.33857,0.79421,0.93755,0.88223,0.94811,0.71426,0.69695,0.33637,0.80202,0.0016345,0.0016345,0.0016345
171,9380.48,0.68354,0.33374,0.79272,0.93685,0.8835,0.9481,0.71403,0.69731,0.33669,0.80199,0.001585,0.001585,0.001585
